iter	Logloss
0	0.6093126276
1	0.5453062276
2	0.4969807076
3	0.4611624932
4	0.4334785006
5	0.4121585956
6	0.3954110465
7	0.3831341032
8	0.3723978199
9	0.3631025333
10	0.3567864257
11	0.3501231199
12	0.3443514051
13	0.3407640031
14	0.3371196621
15	0.3343838636
16	0.33224251
17	0.3294618241
18	0.3270774999
19	0.3249545807
20	0.323317211
21	0.3220427127
22	0.320812096
23	0.3195775114
24	0.3186217669
25	0.3177307608
26	0.3169712016
27	0.3163178002
28	0.315616999
29	0.3150753266
30	0.3145678843
31	0.3140519718
32	0.3135824931
33	0.3132622138
34	0.3129195363
35	0.3125882621
36	0.3121573542
37	0.3117884001
38	0.3115082617
39	0.3112991457
40	0.3110412593
41	0.3107922393
42	0.3105656393
43	0.310424894
44	0.3100779898
45	0.3098930804
46	0.3096951878
47	0.3094976582
48	0.3093133233
49	0.3091867028
50	0.3090579144
51	0.3089401936
52	0.3088157105
53	0.3086499475
54	0.3085106555
55	0.3083631565
56	0.3082068883
57	0.3080876492
58	0.307997585
59	0.3078097335
60	0.3076795874
61	0.3075775893
62	0.3074976547
63	0.3074152354
64	0.3073044698
65	0.3072059575
66	0.3071057055
67	0.3070225224
68	0.3069563783
69	0.3068653292
70	0.3067855013
71	0.3066846317
72	0.3066097322
73	0.3065246874
74	0.3064410181
75	0.3063639567
76	0.3062870963
77	0.3062233188
78	0.3061271825
79	0.3060468969
80	0.3059950664
81	0.3059279107
82	0.3058690893
83	0.3058111625
84	0.3057431095
85	0.3056755561
86	0.3056079255
87	0.3055474547
88	0.3054890847
89	0.3054047984
90	0.3053556058
91	0.3052977311
92	0.3052416032
93	0.3051920633
94	0.3051448063
95	0.3050792266
96	0.3050150235
97	0.3049674022
98	0.3049236743
99	0.3048403093
100	0.3047988545
101	0.3047456003
102	0.30469629
103	0.3046390233
104	0.3045775779
105	0.3045253854
106	0.3044662329
107	0.3044116352
108	0.3043805954
109	0.304317566
110	0.3042800394
111	0.3042243675
112	0.304194082
113	0.3041423794
114	0.3040993413
115	0.3040456149
116	0.3039928413
117	0.3039543103
118	0.3039112168
119	0.3038708596
120	0.3038255217
121	0.3037779701
122	0.3037361235
123	0.3036979479
124	0.303642783
125	0.3036032436
126	0.3035462214
127	0.303486617
128	0.3034300811
129	0.3033890669
130	0.3033314995
131	0.3032871965
132	0.3032292033
133	0.3031843688
134	0.3031431711
135	0.3030983972
136	0.3030565955
137	0.3030103544
138	0.3029726557
139	0.3029292978
140	0.3028678931
141	0.3028173001
142	0.3027697551
143	0.3027211873
144	0.3026685863
145	0.3026186858
146	0.3025656513
147	0.3025178368
148	0.3024664115
149	0.3024106401
150	0.3023683796
151	0.3023324819
152	0.3022987452
153	0.3022508599
154	0.3021938336
155	0.3021485202
156	0.3021110775
157	0.3020667234
158	0.3020190939
159	0.3019604864
160	0.301903752
161	0.3018633392
162	0.3018184321
163	0.3017772637
164	0.3017405117
165	0.301692611
166	0.3016524316
167	0.3016080358
168	0.3015671598
169	0.3015118283
170	0.3014567606
171	0.3014134889
172	0.3013748836
173	0.3013284648
174	0.3012857926
175	0.3012485215
176	0.3012021563
177	0.3011528622
178	0.3011137655
179	0.3010750095
180	0.3010263217
181	0.300991255
182	0.3009463926
183	0.3009082788
184	0.3008582915
185	0.3007964094
186	0.3007578209
187	0.3007236021
188	0.300680439
189	0.3006384471
190	0.300597753
191	0.3005612042
192	0.3005282944
193	0.3004797024
194	0.30043549
195	0.3003724805
196	0.3003316488
197	0.3002835574
198	0.3002458417
199	0.3002110858
200	0.3001812767
201	0.3001437942
202	0.3001030344
203	0.3000581934
204	0.3000265534
205	0.2999916062
206	0.2999513462
207	0.2999132803
208	0.2998456152
209	0.2998093616
210	0.2997629683
211	0.2997175775
212	0.299669807
213	0.2996235921
214	0.2995896435
215	0.2995408971
216	0.2995028418
217	0.2994705896
218	0.2994278296
219	0.2993908071
220	0.2993508248
221	0.2993079253
222	0.2992728716
223	0.2992375534
224	0.2992071007
225	0.2991643837
226	0.2991216337
227	0.2990747361
228	0.299034326
229	0.2989857592
230	0.2989431352
231	0.2989075239
232	0.2988703001
233	0.2988333222
234	0.2988018482
235	0.2987661562
236	0.2987267058
237	0.2986737448
238	0.2986422702
239	0.2985978342
240	0.2985591936
241	0.298514395
242	0.2984878757
243	0.2984513468
244	0.2984174243
245	0.2983841957
246	0.2983436891
247	0.2983151481
248	0.2982824069
249	0.2982464981
250	0.2982138322
251	0.2981695044
252	0.2981258028
253	0.2980974128
254	0.2980697444
255	0.2980464206
256	0.2980135379
257	0.2979678843
258	0.2979199379
259	0.2978705254
260	0.2978276236
261	0.2977954359
262	0.2977584843
263	0.2977257865
264	0.2976931988
265	0.2976520717
266	0.297599173
267	0.2975665886
268	0.2975250437
269	0.2974770416
270	0.2974455425
271	0.2974126722
272	0.2973736654
273	0.2973476001
274	0.2973129024
275	0.2972820991
276	0.2972542539
277	0.2972104818
278	0.2971770982
279	0.2971446092
280	0.2971183686
281	0.2970866616
282	0.2970511776
283	0.2970225626
284	0.2969783958
285	0.2969324513
286	0.2968879751
287	0.296852374
288	0.2968192424
289	0.296769731
290	0.2967427792
291	0.2966971755
292	0.2966521164
293	0.2966007042
294	0.2965643993
295	0.2965207648
296	0.2964845277
297	0.2964522246
298	0.2964107842
299	0.2963800962
300	0.2963385692
301	0.296296171
302	0.2962594882
303	0.2962303649
304	0.2961976569
305	0.2961616241
306	0.2961145597
307	0.2960771901
308	0.2960367546
309	0.2960099107
310	0.2959705453
311	0.2959411143
312	0.2959025614
313	0.2958759313
314	0.2958440084
315	0.2958097396
316	0.295775999
317	0.2957508894
318	0.2957172418
319	0.2956825091
320	0.2956386113
321	0.2956079606
322	0.2955810819
323	0.2955440758
324	0.2954977147
325	0.2954636528
326	0.2954220855
327	0.2953973589
328	0.2953575974
329	0.2953266494
330	0.2952807062
331	0.2952447124
332	0.2952051971
333	0.2951783625
334	0.2951434054
335	0.2951088404
336	0.295073238
337	0.2950466247
338	0.2950085209
339	0.2949729319
340	0.2949421778
341	0.2948966985
342	0.2948599445
343	0.294827529
344	0.2948024987
345	0.2947623046
346	0.2947245159
347	0.2946923716
348	0.2946565777
349	0.2946182926
350	0.2945902342
351	0.2945526691
352	0.2945182451
353	0.294488117
354	0.2944497274
355	0.2944243386
356	0.2943961711
357	0.2943677482
358	0.2943339135
359	0.2943188442
360	0.2942878755
361	0.2942571169
362	0.2942223046
363	0.2941915572
364	0.2941666396
365	0.294134981
366	0.2941109904
367	0.2940668451
368	0.2940412946
369	0.2940058704
370	0.2939720341
371	0.2939355878
372	0.2939160109
373	0.2938808522
374	0.2938555422
375	0.2938266262
376	0.2937945487
377	0.2937672117
378	0.2937398826
379	0.2937115086
380	0.2936834918
381	0.293643365
382	0.2936046718
383	0.2935681019
384	0.293546602
385	0.2935200092
386	0.2934976867
387	0.2934649769
388	0.2934368631
389	0.2933999844
390	0.2933648092
391	0.2933357117
392	0.2932884783
393	0.2932559728
394	0.2932053284
395	0.2931832728
396	0.2931496986
397	0.2931235196
398	0.2930928841
399	0.2930585158
400	0.2930207185
401	0.2929767291
402	0.2929564376
403	0.2929295774
404	0.292895259
405	0.2928775043
406	0.2928455866
407	0.2928213399
408	0.292785773
409	0.2927532867
410	0.2927191903
411	0.2926904176
412	0.2926645918
413	0.2926217035
414	0.2925958881
415	0.2925708411
416	0.2925455819
417	0.2925099158
418	0.2924760101
419	0.2924337741
420	0.2923901573
421	0.2923662187
422	0.2923438268
423	0.292325429
424	0.2923013706
425	0.2922725936
426	0.2922481653
427	0.2922249838
428	0.2921945416
429	0.2921571909
430	0.2921300939
431	0.292094067
432	0.2920520813
433	0.2920119308
434	0.2919773094
435	0.2919525087
436	0.2919186502
437	0.2918891064
438	0.2918596144
439	0.2918279507
440	0.2917955826
441	0.2917643433
442	0.2917276764
443	0.2917038714
444	0.2916652489
445	0.291633479
446	0.2915982894
447	0.2915819838
448	0.291558757
449	0.2915295657
450	0.2915025217
451	0.2914694888
452	0.2914403497
453	0.2914043344
454	0.291373999
455	0.2913376093
456	0.2913252667
457	0.2912907656
458	0.2912604086
459	0.2912270151
460	0.2911995701
461	0.2911651311
462	0.2911344204
463	0.2911086517
464	0.2910841896
465	0.2910534024
466	0.2910257364
467	0.2909821085
468	0.2909534236
469	0.2909140228
470	0.2908903768
471	0.2908604429
472	0.2908295143
473	0.2907990991
474	0.2907661505
475	0.290727815
476	0.2907044298
477	0.2906771993
478	0.2906582617
479	0.2906146323
480	0.2905864234
481	0.2905590194
482	0.2905332626
483	0.290504275
484	0.2904845253
485	0.2904533101
486	0.290409988
487	0.2903756373
488	0.2903456903
489	0.2903121084
490	0.2902806852
491	0.290249303
492	0.2902202748
493	0.2901867915
494	0.2901463442
495	0.2901122428
496	0.2900824287
497	0.29005579
498	0.2900159849
499	0.2899818492
500	0.2899449381
501	0.2899216764
502	0.2899006745
503	0.2898663998
504	0.2898381876
505	0.2897975695
506	0.2897797577
507	0.2897472339
508	0.2897245475
509	0.2896972202
510	0.2896589007
511	0.2896306162
512	0.289605195
513	0.289574408
514	0.2895474084
515	0.289513008
516	0.289484342
517	0.2894469417
518	0.2894202221
519	0.2894010035
520	0.2893688714
521	0.2893365163
522	0.2893002074
523	0.2892701376
524	0.2892512393
525	0.2892234824
526	0.2891895743
527	0.289147638
528	0.2891259108
529	0.289105366
530	0.2890686353
531	0.2890430686
532	0.2890237548
533	0.2889997786
534	0.2889659251
535	0.2889442214
536	0.2889105448
537	0.2888783974
538	0.2888478393
539	0.2888131469
540	0.2887883162
541	0.2887503447
542	0.2887256231
543	0.2886911118
544	0.2886675505
545	0.2886422089
546	0.2886067906
547	0.2885794462
548	0.2885560765
549	0.2885277258
550	0.2884952123
551	0.2884669525
552	0.2884302021
553	0.2884123767
554	0.2883789398
555	0.288349741
556	0.2883231336
557	0.2882963169
558	0.2882617908
559	0.2882252456
560	0.2882064091
561	0.2881865842
562	0.2881606229
563	0.2881338459
564	0.2881069418
565	0.2880865119
566	0.2880598876
567	0.2880264527
568	0.288004326
569	0.2879734412
570	0.2879409915
571	0.2879107779
572	0.2878891003
573	0.2878692723
574	0.2878411306
575	0.2878119638
576	0.2877773514
577	0.2877498865
578	0.2877115203
579	0.2876805984
580	0.2876443611
581	0.2876209885
582	0.2875849597
583	0.287551675
584	0.2875328393
585	0.2875102175
586	0.2874837753
587	0.2874623884
588	0.2874435179
589	0.287410092
590	0.2873844913
591	0.2873545989
592	0.2873366403
593	0.2873165787
594	0.2872824185
595	0.2872621049
596	0.2872230094
597	0.2871940034
598	0.2871661395
599	0.2871384148
600	0.2871159275
601	0.2870871768
602	0.2870462365
603	0.28701403
604	0.2869890172
605	0.2869685886
606	0.2869420404
607	0.2869184157
608	0.2868966802
609	0.2868661539
610	0.2868442663
611	0.2868086621
612	0.286783818
613	0.2867477055
614	0.2867189371
615	0.2866995157
616	0.286675738
617	0.2866551577
618	0.2866253462
619	0.2866052998
620	0.2865742173
621	0.2865375501
622	0.2865135375
623	0.2864939782
624	0.2864678856
625	0.2864370898
626	0.2864047361
627	0.2863738974
628	0.2863623119
629	0.286332927
630	0.2863049768
631	0.2862771558
632	0.2862524796
633	0.2862148437
634	0.2861921535
635	0.2861638266
636	0.2861372722
637	0.2861145019
638	0.2860895724
639	0.2860591684
640	0.2860300594
641	0.2860042898
642	0.2859838181
643	0.2859583204
644	0.2859348441
645	0.2859106601
646	0.2858830589
647	0.2858529737
648	0.2858232435
649	0.2857970794
650	0.2857623507
651	0.2857346311
652	0.2857092097
653	0.2856798575
654	0.2856607211
655	0.2856371219
656	0.2856090691
657	0.2855784898
658	0.2855619662
659	0.2855263692
660	0.2855052247
661	0.2854708356
662	0.2854454643
663	0.2854190919
664	0.2853981503
665	0.2853767811
666	0.285353765
667	0.2853286464
668	0.2852982628
669	0.2852748935
670	0.2852520414
671	0.285229562
672	0.285194923
673	0.2851613336
674	0.2851360096
675	0.2851177998
676	0.2850918478
677	0.2850654619
678	0.285035463
679	0.2850142099
680	0.2849889123
681	0.2849628784
682	0.2849327357
683	0.2849111663
684	0.2848787474
685	0.2848604877
686	0.2848414912
687	0.2848105928
688	0.2847847362
689	0.2847610485
690	0.2847288044
691	0.2847018134
692	0.2846753445
693	0.2846434804
694	0.2846263448
695	0.28459853
696	0.2845667715
697	0.2845304219
698	0.2845097841
699	0.2844743004
700	0.2844479621
701	0.2844184117
702	0.2844007665
703	0.2843721138
704	0.2843533909
705	0.2843283049
706	0.2842979046
707	0.2842672364
708	0.2842297915
709	0.2841983592
710	0.2841783329
711	0.2841641578
712	0.2841316592
713	0.2841014991
714	0.2840724293
715	0.2840443285
716	0.2840172812
717	0.2839859686
718	0.2839511289
719	0.2839111278
720	0.2838834447
721	0.2838685112
722	0.283842201
723	0.2838153956
724	0.2837856741
725	0.2837502014
726	0.2837159683
727	0.2836830061
728	0.2836640807
729	0.2836422005
730	0.2836134447
731	0.2835833676
732	0.2835505589
733	0.2835126153
734	0.2834879231
735	0.2834606264
736	0.2834372977
737	0.2834056841
738	0.2833756125
739	0.2833540176
740	0.2833262623
741	0.283308383
742	0.2832860543
743	0.28325609
744	0.2832386967
745	0.2832078095
746	0.2831805515
747	0.2831533714
748	0.283125999
749	0.2831075064
750	0.2830842835
751	0.2830535073
752	0.2830290446
753	0.2830149785
754	0.2829960392
755	0.2829722273
756	0.2829506952
757	0.282927986
758	0.2829039877
759	0.2828773182
760	0.2828448355
761	0.2828200658
762	0.2827973367
763	0.2827819782
764	0.2827534864
765	0.2827258777
766	0.2826906634
767	0.2826642687
768	0.2826467367
769	0.2826175276
770	0.2825902731
771	0.2825644542
772	0.2825481795
773	0.2825318678
774	0.2825041859
775	0.2824777217
776	0.2824453341
777	0.2824171753
778	0.2823949263
779	0.2823615366
780	0.2823374005
781	0.2823125942
782	0.2822933697
783	0.2822648822
784	0.2822314155
785	0.2822107628
786	0.2821802912
787	0.2821532608
788	0.2821313697
789	0.2821046486
790	0.2820789219
791	0.2820580724
792	0.2820356867
793	0.2820098534
794	0.2819815317
795	0.2819528002
796	0.2819242037
797	0.28190061
798	0.2818791068
799	0.2818436686
800	0.2818182842
801	0.2817897166
802	0.2817627762
803	0.2817388447
804	0.2817146951
805	0.2816797029
806	0.2816506194
807	0.2816333746
808	0.2816160403
809	0.2815879246
810	0.2815770827
811	0.2815508134
812	0.2815261711
813	0.2814945497
814	0.2814654179
815	0.2814333985
816	0.2814088986
817	0.2813787209
818	0.2813603146
819	0.281330031
820	0.2812986709
821	0.2812733687
822	0.2812417224
823	0.2812086092
824	0.2811837724
825	0.2811633395
826	0.2811410296
827	0.2811106898
828	0.2810842926
829	0.2810550842
830	0.2810334075
831	0.2810140787
832	0.2809867027
833	0.280955437
834	0.2809308728
835	0.2809057205
836	0.2808858992
837	0.2808650019
838	0.2808413776
839	0.2808203021
840	0.2807923503
841	0.2807782878
842	0.2807548701
843	0.2807329451
844	0.2807056117
845	0.2806814927
846	0.2806617445
847	0.2806372742
848	0.2806159761
849	0.2805932585
850	0.2805545126
851	0.2805291959
852	0.2804941028
853	0.2804630236
854	0.2804362222
855	0.2804133163
856	0.2803858678
857	0.2803500964
858	0.2803220056
859	0.2803045954
860	0.280285459
861	0.2802634682
862	0.2802389357
863	0.280208171
864	0.280191429
865	0.2801723456
866	0.280149422
867	0.280112544
868	0.2800856089
869	0.2800635185
870	0.2800417709
871	0.2800168184
872	0.2799997034
873	0.2799819472
874	0.2799477727
875	0.2799219293
876	0.279886564
877	0.2798562837
878	0.2798348579
879	0.2798150722
880	0.279791632
881	0.2797749484
882	0.2797527284
883	0.2797265508
884	0.279708127
