iter	Logloss
0	0.6093126276
1	0.5453062276
2	0.4969807076
3	0.4611624932
4	0.4334785006
5	0.4121585956
6	0.3954110465
7	0.3831341032
8	0.3723978199
9	0.3631025333
10	0.3567864257
11	0.3501231199
12	0.3443514051
13	0.3407640031
14	0.3371196621
15	0.3343838636
16	0.33224251
17	0.3294618241
18	0.3270774999
19	0.3249545807
20	0.323317211
21	0.3220427127
22	0.320812096
23	0.3195775114
24	0.3186217669
25	0.3177307608
26	0.3169712016
27	0.3163178002
28	0.315616999
29	0.3150753266
30	0.3145678843
31	0.3140519718
32	0.3135824931
33	0.3132622138
34	0.3129195363
35	0.3125882621
36	0.3121573542
37	0.3117884001
38	0.3115082617
39	0.3112991457
40	0.3110412593
41	0.3107922393
42	0.3105656393
43	0.310424894
44	0.3100779898
45	0.3098930804
46	0.3096951878
47	0.3094976582
48	0.3093133233
49	0.30918659
50	0.3090577898
51	0.3089400409
52	0.3088155594
53	0.3086498496
54	0.3085105191
55	0.3083629878
56	0.3082067636
57	0.3080875616
58	0.3079974501
59	0.3078095956
60	0.3076794526
61	0.3075773967
62	0.3074975021
63	0.3074151361
64	0.3073043438
65	0.3072058846
66	0.3071055959
67	0.3070224171
68	0.3069562451
69	0.3068643077
70	0.3067844867
71	0.3067077355
72	0.3066459578
73	0.3065621361
74	0.306478101
75	0.3064291979
76	0.3063193617
77	0.3062245934
78	0.3061404907
79	0.30602319
80	0.305961891
81	0.3058963707
82	0.3058278525
83	0.3057628608
84	0.3056779401
85	0.3056104815
86	0.305569932
87	0.3055101735
88	0.3054626006
89	0.3053957109
90	0.3053357203
91	0.3052677455
92	0.3052222241
93	0.3051865338
94	0.3051316458
95	0.3050594927
96	0.3050009724
97	0.3049582074
98	0.3049112977
99	0.3048612327
100	0.3048114153
101	0.3047529522
102	0.3046999977
103	0.3046392481
104	0.3045968405
105	0.3045543139
106	0.3044865094
107	0.3044267366
108	0.3043697787
109	0.304306821
110	0.3042571101
111	0.3042003025
112	0.3041535011
113	0.3041097032
114	0.3040738866
115	0.3040288419
116	0.3039907502
117	0.3039635883
118	0.3039099232
119	0.3038466969
120	0.3037786077
121	0.3037135888
122	0.3036640614
123	0.303608475
124	0.303555284
125	0.303518198
126	0.3034764438
127	0.303433604
128	0.3033928494
129	0.3033451651
130	0.303277675
131	0.3032354772
132	0.3031918513
133	0.3031441057
134	0.3030952854
135	0.3030424008
136	0.3030006848
137	0.3029573808
138	0.3029054098
139	0.3028521991
140	0.3027845145
141	0.3027420002
142	0.3026892419
143	0.3026332344
144	0.302583172
145	0.302529891
146	0.3024820573
147	0.3024459143
148	0.3024041224
149	0.3023538936
150	0.3023118788
151	0.3022562408
152	0.3022160117
153	0.3021715549
154	0.302127256
155	0.3020850285
156	0.3020443513
157	0.302002567
158	0.3019578316
159	0.3019059475
160	0.3018641773
161	0.3018087753
162	0.3017623237
163	0.3017002063
164	0.3016555513
165	0.3016163719
166	0.3015772525
167	0.3015329817
168	0.3014876906
169	0.3014330491
170	0.301395041
171	0.3013532434
172	0.3013082004
173	0.3012652048
174	0.3012235406
175	0.3011714213
176	0.3011284345
177	0.3010878066
178	0.3010343984
179	0.3009939521
180	0.3009282117
181	0.3008914653
182	0.3008507132
183	0.3008054027
184	0.3007617275
185	0.3007208399
186	0.3006856022
187	0.3006455862
188	0.3006024837
189	0.3005516574
190	0.3005000999
191	0.3004549679
192	0.3004024952
193	0.3003741432
194	0.3003291896
195	0.3002845717
196	0.3002303134
197	0.300193584
198	0.3001504149
199	0.3001192881
200	0.30007828
201	0.3000319944
202	0.2999943755
203	0.2999556021
204	0.2999166893
205	0.2998746806
206	0.2998312189
207	0.299794748
208	0.2997428121
209	0.2997025094
210	0.2996582376
211	0.2996204546
212	0.2995751654
213	0.2995284692
214	0.2994866651
215	0.2994493102
216	0.2994047505
217	0.2993561291
218	0.2993104727
219	0.2992699758
220	0.2992272597
221	0.2991834596
222	0.2991381847
223	0.2991079131
224	0.299058997
225	0.2990171184
226	0.2989862739
227	0.2989507547
228	0.2989123711
229	0.2988691645
230	0.2988321046
231	0.2987932649
232	0.2987450105
233	0.2987113381
234	0.2986625256
235	0.2986193743
236	0.2985862059
237	0.2985521355
238	0.298511848
239	0.2984614121
240	0.298425996
241	0.2983851846
242	0.2983456389
243	0.2982982833
244	0.2982644611
245	0.2982105977
246	0.2981758389
247	0.2981297462
248	0.2980955312
249	0.2980622376
250	0.2980301214
251	0.2979916377
252	0.2979576234
253	0.297918196
254	0.2978791184
255	0.2978520558
256	0.2978140853
257	0.2977737793
258	0.2977295656
259	0.2976962984
260	0.2976577698
261	0.2976076713
262	0.2975762272
263	0.2975452334
264	0.2975162388
265	0.2974688858
266	0.2974388736
267	0.2974167135
268	0.2973717246
269	0.2973344184
270	0.2972971251
271	0.2972584855
272	0.2972260197
273	0.2971609999
274	0.2971268891
275	0.2970864788
276	0.297052083
277	0.2970097643
278	0.2969732803
279	0.2969491345
280	0.2969119486
281	0.2968849671
282	0.2968529377
283	0.2968020511
284	0.2967699448
285	0.2967288736
286	0.2966892727
287	0.2966635234
288	0.2966381861
289	0.2966107318
290	0.2965823783
291	0.2965473129
292	0.2965123396
293	0.2964870101
294	0.296452042
295	0.296420233
296	0.2963901124
297	0.2963483601
298	0.2963192968
299	0.296293438
300	0.2962515046
301	0.2962125631
302	0.2961828993
303	0.2961476119
304	0.2961151769
305	0.2960738773
306	0.2960415334
307	0.2959923247
308	0.2959512939
309	0.2959193945
310	0.295878223
311	0.2958491943
312	0.2958180915
313	0.2957764245
314	0.2957427226
315	0.2957125363
316	0.2956781691
317	0.2956441014
318	0.2956038481
319	0.2955717521
320	0.2955331408
321	0.2955002857
322	0.2954637459
323	0.2954189047
324	0.2953989714
325	0.2953581513
326	0.2953276812
327	0.295296587
328	0.2952557581
329	0.2952234181
330	0.295186545
331	0.2951497938
332	0.2951106542
333	0.295077396
334	0.2950566117
335	0.2950190246
336	0.2949757609
337	0.2949498194
338	0.2949196503
339	0.2948978788
340	0.2948626113
341	0.2948327867
342	0.2947961546
343	0.2947568191
344	0.2947278808
345	0.2947063494
346	0.2946730277
347	0.2946347519
348	0.2945974913
349	0.2945592939
350	0.2945253494
351	0.2944958128
352	0.2944656186
353	0.2944340961
354	0.294409245
355	0.2943805998
356	0.2943547259
357	0.2943302383
358	0.2943035023
359	0.2942668671
360	0.2942357694
361	0.2942059207
362	0.2941621282
363	0.2941273474
364	0.2940982282
365	0.2940597838
366	0.2940272377
367	0.2940037579
368	0.2939809359
369	0.2939516969
370	0.2939204575
371	0.2938868582
372	0.293861915
373	0.293826226
374	0.2937919217
375	0.2937644787
376	0.2937168134
377	0.2936863809
378	0.2936495665
379	0.2936203665
380	0.2935781112
381	0.2935450335
382	0.2935201637
383	0.2934832627
384	0.2934601717
385	0.2934261259
386	0.293384963
387	0.2933507584
388	0.2933281453
389	0.293301669
390	0.293258595
391	0.2932128865
392	0.2931769532
393	0.2931529045
394	0.2931119147
395	0.2930799671
396	0.2930546334
397	0.2930288104
398	0.2929998484
399	0.2929664433
400	0.2929319766
401	0.2928964012
402	0.2928499561
403	0.292813118
404	0.2927804573
405	0.2927504816
406	0.292714081
407	0.2926760575
408	0.2926432872
409	0.2926078091
410	0.292578359
411	0.2925448406
412	0.2925053013
413	0.2924766693
414	0.2924402614
415	0.2923996463
416	0.292365505
417	0.2923350968
418	0.2923023666
419	0.2922743023
420	0.2922485627
421	0.2922112734
422	0.2921773762
423	0.2921377116
424	0.2921158406
425	0.2920917862
426	0.2920697099
427	0.2920440174
428	0.2920175619
429	0.2919949975
430	0.2919721773
431	0.2919421832
432	0.2919118961
433	0.2918877674
434	0.2918669321
435	0.2918424087
436	0.2918096101
437	0.2917739304
438	0.2917448093
439	0.2917226126
440	0.2916845862
441	0.2916554884
442	0.2916182052
443	0.2915926942
444	0.2915579559
445	0.291521147
446	0.2914905859
447	0.2914632685
448	0.2914357058
449	0.2914059475
450	0.2913797875
451	0.2913647502
452	0.2913370149
453	0.2913147816
454	0.2912825853
455	0.2912593281
456	0.2912357499
457	0.2912015363
458	0.2911796965
459	0.2911489704
460	0.2911140297
461	0.2910800731
462	0.2910508922
463	0.2910183271
464	0.2909869095
465	0.2909572231
466	0.2909327599
467	0.2909129427
468	0.2908719823
469	0.2908394946
470	0.2908043562
471	0.2907733051
472	0.2907464223
473	0.2907208901
474	0.2907056265
475	0.2906677128
476	0.2906374476
477	0.2906156177
478	0.2905848416
479	0.2905531099
480	0.290521603
481	0.2904897772
482	0.2904681027
483	0.2904409582
484	0.2904138197
485	0.2903836779
486	0.290359003
487	0.2903297989
488	0.2903149512
489	0.2902833891
490	0.2902632648
491	0.2902297011
492	0.2902003112
493	0.2901813026
494	0.2901512628
495	0.2901243009
496	0.2900982319
497	0.2900709076
498	0.290043494
499	0.2900134929
500	0.2899681859
501	0.289939002
502	0.2899072609
503	0.2898888631
504	0.2898588806
505	0.2898353893
506	0.2898073138
507	0.2897723374
508	0.2897418074
509	0.2897087803
510	0.2896775055
511	0.2896573942
512	0.2896234482
513	0.2895948827
514	0.2895635929
515	0.2895382312
516	0.2895163039
517	0.2894827029
518	0.2894440686
519	0.2894155448
520	0.2893834158
521	0.2893547543
522	0.289329419
523	0.2892968896
524	0.2892712541
525	0.289245552
526	0.2892059474
527	0.289174485
528	0.2891470374
529	0.2891149125
530	0.2890835782
531	0.2890553034
532	0.2890215823
533	0.2889932368
534	0.2889625066
535	0.288948893
536	0.2889247893
537	0.2888937482
538	0.288867884
539	0.2888463292
540	0.2888099732
541	0.2887793634
542	0.2887567544
543	0.2887327372
544	0.2887103951
545	0.2886868617
546	0.2886567006
547	0.2886160566
548	0.2885985579
549	0.2885786591
550	0.288548817
551	0.2885195935
552	0.288489286
553	0.2884639752
554	0.2884289031
555	0.2884041561
556	0.2883797492
557	0.2883497001
558	0.2883259577
559	0.2883013958
560	0.2882741466
561	0.2882440143
562	0.2882193469
563	0.288182471
564	0.2881519836
565	0.2881323915
566	0.2881007298
567	0.2880654473
568	0.288035204
569	0.2880063855
570	0.2879849046
571	0.2879618577
572	0.2879364069
573	0.2878924399
574	0.2878641267
575	0.2878397123
576	0.2878161176
577	0.2877848217
578	0.2877587169
579	0.2877326762
580	0.2877114669
581	0.2876878135
582	0.2876669213
583	0.2876436977
584	0.2876067978
585	0.2875897688
586	0.2875596565
587	0.2875346508
588	0.2874993451
589	0.287482821
590	0.2874603112
591	0.287425056
592	0.2874047606
593	0.2873699405
594	0.287348399
595	0.2873259562
596	0.2872902774
597	0.2872594338
598	0.2872313246
599	0.2871974538
600	0.2871669554
601	0.2871328172
602	0.2871085073
603	0.2870730272
604	0.2870416117
605	0.2870166372
606	0.2869870522
607	0.2869618715
608	0.2869243929
609	0.2868923686
610	0.2868636945
611	0.2868359982
612	0.286801702
613	0.2867792994
614	0.2867453495
615	0.286726444
616	0.2867046673
617	0.2866751899
618	0.2866407734
619	0.2866107109
620	0.2865766433
621	0.2865371899
622	0.2865084731
623	0.2864762876
624	0.2864489216
625	0.2864269114
626	0.2864100138
627	0.286365249
628	0.2863354723
629	0.286304078
630	0.2862798727
631	0.2862519402
632	0.286221514
633	0.2862025111
634	0.2861745903
635	0.2861411732
636	0.2861141745
637	0.2860738916
638	0.2860422419
639	0.2860052648
640	0.2859821514
641	0.2859597209
642	0.2859356138
643	0.285901464
644	0.2858701141
645	0.2858443046
646	0.2858288517
647	0.2858004297
648	0.2857690374
649	0.2857495313
650	0.2857174244
651	0.2856928255
652	0.2856642174
653	0.2856369076
654	0.2856065504
655	0.2855716945
656	0.2855490086
657	0.2855121177
658	0.2854872991
659	0.2854532409
660	0.2854237967
661	0.2854042798
662	0.2853832144
663	0.2853533956
664	0.2853226166
665	0.2852958453
666	0.2852713444
667	0.2852437959
668	0.2852235019
669	0.2852119651
670	0.2851828244
671	0.2851509114
672	0.2851285643
673	0.2851097848
674	0.285087677
675	0.2850547124
676	0.2850181971
677	0.2849924847
678	0.2849751237
679	0.284948529
680	0.2849299271
681	0.2849146916
682	0.284884381
683	0.2848528549
684	0.284820723
685	0.2847928323
686	0.2847677495
687	0.2847534398
688	0.2847360366
689	0.2847151382
690	0.2846926683
691	0.284666375
692	0.2846410817
693	0.2846060165
694	0.2845772881
695	0.2845579587
696	0.2845261784
697	0.2845023614
698	0.2844759405
699	0.2844480905
700	0.2844348704
701	0.2844152455
702	0.2843946741
703	0.2843736495
704	0.2843424588
705	0.2843144798
706	0.2842957769
707	0.2842672845
708	0.2842386175
709	0.2842086894
710	0.2841840531
711	0.2841572069
712	0.2841459416
713	0.2841178686
714	0.2840890219
715	0.2840620611
716	0.2840398197
717	0.2840042293
718	0.2839871172
719	0.2839583866
720	0.2839294337
721	0.2839014289
722	0.2838795347
723	0.2838543402
724	0.2838261384
725	0.2837950673
726	0.2837727239
727	0.2837471911
728	0.2837095783
729	0.2836892426
730	0.2836583783
731	0.2836395934
732	0.2836148852
733	0.2835908218
734	0.283560473
735	0.2835388076
736	0.2835138681
737	0.2834842796
738	0.283462499
739	0.2834346484
740	0.2834086126
741	0.2833847601
742	0.2833657273
743	0.2833415585
744	0.2833066124
745	0.2832805319
746	0.2832458613
747	0.2832247444
748	0.2831926123
749	0.2831728893
750	0.2831363984
751	0.2831146277
752	0.2830876281
753	0.2830616845
754	0.2830366313
755	0.2830192672
756	0.2829943274
757	0.2829696343
758	0.2829591817
759	0.2829182239
760	0.2828909864
761	0.2828676212
762	0.2828386031
763	0.2828109248
764	0.2827937527
765	0.2827736921
766	0.2827461629
767	0.2827179539
768	0.2826923907
769	0.2826628327
770	0.2826313919
771	0.2826046817
772	0.2825711533
773	0.2825490283
774	0.2825269142
775	0.2825050283
776	0.2824851761
777	0.2824608736
778	0.2824261615
779	0.2824024629
780	0.2823736493
781	0.282352451
782	0.2823296314
783	0.2822973833
784	0.2822693295
785	0.2822411679
786	0.2822225673
787	0.2821977356
788	0.282159798
789	0.2821353181
790	0.2821063262
791	0.2820862402
792	0.2820756209
793	0.2820489523
794	0.2820180881
795	0.2819919065
796	0.2819712479
797	0.2819525445
798	0.2819286409
799	0.2819004769
800	0.2818671761
801	0.2818470487
802	0.2818182418
803	0.2817905341
804	0.2817588491
805	0.2817416389
806	0.2817113246
807	0.2816860152
808	0.2816599702
809	0.2816302329
810	0.2816131025
811	0.2815764874
812	0.2815518718
813	0.2815304593
814	0.2815032071
815	0.2814827141
816	0.2814593297
817	0.2814305151
818	0.2814055935
819	0.2813810392
820	0.2813565758
821	0.2813278249
822	0.2813022668
823	0.2812740759
824	0.2812487901
825	0.2812213062
826	0.2812033858
827	0.2811690246
828	0.2811447705
829	0.2811251895
830	0.2811075769
831	0.2810885152
832	0.2810639848
833	0.2810266763
834	0.2809947629
835	0.2809668466
836	0.2809442634
837	0.280924403
838	0.2809014672
839	0.2808741019
840	0.280850209
841	0.2808221359
842	0.2808002097
843	0.2807884661
844	0.2807615053
845	0.2807464694
846	0.2807229704
847	0.2806998009
848	0.2806827361
849	0.2806655197
850	0.2806366981
851	0.2806016641
852	0.2805878963
853	0.2805542433
854	0.2805223807
855	0.2804973758
856	0.2804723919
857	0.2804400083
858	0.2804055868
859	0.2803723419
860	0.2803508684
861	0.2803274286
862	0.2802995333
863	0.2802676243
864	0.2802381211
865	0.2802087238
866	0.2801817685
867	0.2801482496
868	0.2801288719
869	0.2801007095
870	0.2800685678
871	0.2800383826
872	0.2800084379
873	0.2799843656
874	0.2799614356
875	0.2799510148
876	0.2799285466
877	0.2799087256
878	0.2798794136
879	0.2798473051
880	0.279819246
881	0.279806377
882	0.2797877375
883	0.2797597436
884	0.2797344329
