iter	Passed	Remaining
408	5183	7489
409	5194	7475
410	5207	7462
411	5219	7449
412	5232	7436
413	5246	7426
414	5260	7414
415	5274	7404
416	5288	7393
417	5302	7382
418	5315	7370
419	5329	7359
420	5342	7347
421	5356	7336
422	5371	7327
423	5385	7316
424	5400	7306
425	5414	7295
426	5427	7283
427	5440	7271
428	5454	7259
429	5468	7248
430	5480	7235
431	5494	7224
432	5506	7211
433	5520	7199
434	5534	7188
435	5548	7177
436	5561	7165
437	5575	7154
438	5588	7141
439	5602	7129
440	5615	7118
441	5627	7104
442	5641	7092
443	5653	7079
444	5667	7067
445	5681	7056
446	5694	7044
447	5706	7031
448	5718	7018
449	5731	7004
450	5744	6992
451	5757	6980
452	5769	6966
453	5783	6955
454	5796	6943
455	5810	6931
456	5823	6919
457	5837	6907
458	5850	6895
459	5863	6883
460	5880	6875
461	5895	6865
462	5909	6853
463	5924	6843
464	5939	6833
465	5953	6821
466	5966	6809
467	5980	6797
468	5992	6784
469	6006	6772
470	6020	6762
471	6034	6750
472	6049	6739
473	6062	6727
474	6077	6716
475	6091	6705
476	6103	6692
477	6117	6680
478	6131	6669
479	6145	6657
480	6160	6646
481	6173	6635
482	6188	6623
483	6201	6611
484	6214	6599
485	6229	6588
486	6242	6576
487	6255	6563
488	6268	6550
489	6283	6540
490	6297	6528
491	6312	6517
492	6325	6505
493	6340	6494
494	6355	6483
495	6371	6474
496	6386	6463
497	6399	6450
498	6413	6438
499	6429	6429
500	6441	6415
501	6455	6404
502	6470	6393
503	6486	6383
504	6502	6373
505	6516	6361
506	6530	6350
507	6544	6337
508	6558	6326
509	6573	6315
510	6587	6304
511	6601	6291
512	6616	6281
513	6632	6270
514	6647	6260
515	6665	6251
516	6683	6244
517	6701	6235
518	6716	6224
519	6731	6213
520	6746	6202
521	6762	6192
522	6776	6180
523	6789	6167
524	6803	6155
525	6816	6142
526	6830	6130
527	6842	6116
528	6856	6104
529	6868	6090
530	6881	6077
531	6894	6065
532	6908	6053
533	6929	6046
534	6944	6036
535	6959	6024
536	6973	6012
537	6988	6001
538	7002	5989
539	7019	5979
540	7032	5966
541	7046	5954
542	7061	5942
543	7075	5931
544	7091	5920
545	7105	5908
546	7122	5898
547	7136	5886
548	7151	5874
549	7166	5863
550	7185	5855
551	7200	5844
552	7215	5832
553	7231	5821
554	7248	5811
555	7262	5799
556	7275	5786
557	7289	5774
558	7303	5761
559	7317	5749
560	7332	5738
561	7347	5726
562	7360	5713
563	7374	5701
564	7386	5687
565	7400	5674
566	7413	5661
567	7427	5648
568	7441	5636
569	7454	5623
570	7467	5610
571	7480	5597
572	7493	5583
573	7503	5568
574	7517	5556
575	7531	5543
576	7543	5530
577	7555	5516
578	7568	5503
579	7580	5489
580	7593	5476
581	7607	5464
582	7621	5451
583	7635	5438
584	7650	5426
585	7663	5414
586	7677	5401
587	7690	5388
588	7703	5375
589	7717	5362
590	7731	5350
591	7742	5336
592	7756	5323
593	7768	5309
594	7781	5296
595	7794	5283
596	7807	5270
597	7820	5257
598	7832	5243
599	7844	5229
600	7855	5215
601	7869	5202
602	7882	5189
603	7892	5174
604	7906	5162
605	7919	5148
606	7932	5136
607	7945	5122
608	7956	5108
609	7969	5095
610	7983	5082
611	7997	5070
612	8009	5056
613	8021	5042
614	8033	5029
615	8046	5015
616	8058	5002
617	8071	4989
618	8083	4975
619	8096	4962
620	8111	4950
621	8124	4937
622	8138	4924
623	8151	4911
624	8164	4898
625	8177	4885
626	8189	4871
627	8202	4859
628	8216	4846
629	8227	4831
630	8241	4819
631	8254	4806
632	8267	4793
633	8280	4780
634	8292	4766
635	8304	4753
636	8319	4740
637	8333	4728
638	8346	4715
639	8362	4703
640	8375	4690
641	8389	4678
642	8403	4665
643	8418	4653
644	8432	4640
645	8445	4627
646	8458	4614
647	8470	4601
648	8483	4588
649	8497	4575
650	8509	4561
651	8523	4549
652	8536	4536
653	8549	4523
654	8564	4510
655	8577	4498
656	8592	4486
657	8606	4473
658	8620	4460
659	8634	4448
660	8648	4435
661	8662	4422
662	8676	4410
663	8691	4398
664	8706	4385
665	8719	4372
666	8733	4360
667	8748	4348
668	8761	4335
669	8775	4322
670	8790	4310
671	8805	4297
672	8819	4285
673	8832	4272
674	8847	4259
675	8861	4247
676	8874	4233
677	8889	4221
678	8904	4209
679	8919	4197
680	8932	4184
681	8947	4171
682	8961	4159
683	8974	4146
684	8987	4132
685	8999	4119
686	9012	4106
687	9024	4092
688	9037	4079
689	9049	4065
690	9062	4052
691	9076	4039
692	9090	4026
693	9102	4013
694	9116	4000
695	9133	3989
696	9150	3978
697	9165	3965
698	9180	3953
699	9193	3939
700	9206	3926
701	9219	3913
702	9233	3900
703	9245	3887
704	9259	3874
705	9273	3861
706	9287	3848
707	9300	3835
708	9314	3823
709	9329	3810
710	9343	3797
711	9358	3785
712	9372	3772
713	9385	3759
714	9398	3746
715	9410	3732
716	9423	3719
717	9435	3705
718	9449	3693
719	9461	3679
720	9475	3666
721	9489	3653
722	9503	3641
723	9517	3628
724	9532	3615
725	9546	3603
726	9559	3589
727	9579	3579
728	9594	3566
729	9609	3554
730	9621	3540
731	9633	3527
732	9646	3513
733	9659	3500
734	9672	3487
735	9686	3474
736	9699	3461
737	9714	3448
738	9729	3436
739	9743	3423
740	9756	3410
741	9769	3397
742	9783	3383
743	9797	3371
744	9811	3358
745	9824	3345
746	9838	3332
747	9852	3319
748	9866	3306
749	9880	3293
750	9894	3280
751	9907	3267
752	9921	3254
753	9935	3241
754	9948	3228
755	9961	3215
756	9973	3201
757	9987	3188
758	10002	3176
759	10017	3163
760	10031	3150
761	10047	3138
762	10064	3126
763	10081	3114
764	10095	3101
765	10109	3088
766	10124	3075
767	10137	3062
768	10150	3049
769	10162	3035
770	10174	3022
771	10187	3008
772	10203	2996
773	10217	2983
774	10231	2970
775	10245	2957
776	10258	2944
777	10271	2931
778	10285	2917
779	10297	2904
780	10309	2890
781	10321	2877
782	10334	2864
783	10346	2850
784	10359	2837
785	10372	2824
786	10384	2810
787	10397	2797
788	10408	2783
789	10420	2769
790	10433	2756
791	10447	2743
792	10460	2730
793	10471	2716
794	10483	2703
795	10497	2690
796	10509	2676
797	10522	2663
798	10534	2650
799	10546	2636
800	10559	2623
801	10571	2609
802	10583	2596
803	10596	2583
804	10609	2570
805	10623	2557
806	10636	2543
807	10649	2530
808	10661	2517
809	10674	2503
810	10686	2490
811	10698	2476
812	10711	2463
813	10724	2450
814	10735	2436
815	10747	2423
816	10759	2410
817	10772	2396
818	10785	2383
819	10797	2370
820	10808	2356
821	10822	2343
822	10835	2330
823	10849	2317
824	10860	2303
825	10873	2290
826	10886	2277
827	10900	2264
828	10913	2251
829	10926	2238
830	10940	2225
831	10954	2211
832	10967	2198
833	10980	2185
834	10993	2172
835	11007	2159
836	11019	2145
837	11031	2132
838	11043	2119
839	11056	2106
840	11069	2092
841	11082	2079
842	11095	2066
843	11108	2053
844	11120	2039
845	11133	2026
846	11145	2013
847	11157	1999
848	11170	1986
849	11182	1973
850	11195	1960
851	11208	1947
852	11221	1933
853	11235	1920
854	11249	1907
855	11261	1894
856	11274	1881
857	11287	1868
858	11298	1854
859	11312	1841
860	11325	1828
861	11338	1815
862	11350	1801
863	11364	1788
864	11377	1775
865	11388	1762
866	11401	1748
867	11415	1735
868	11426	1722
869	11439	1709
870	11453	1696
871	11467	1683
872	11480	1670
873	11492	1656
874	11504	1643
875	11516	1630
876	11528	1616
877	11540	1603
878	11552	1590
879	11565	1577
880	11577	1563
881	11590	1550
882	11602	1537
883	11616	1524
884	11628	1511
885	11641	1497
886	11653	1484
887	11665	1471
888	11678	1458
889	11690	1444
890	11703	1431
891	11715	1418
892	11726	1405
893	11739	1391
894	11751	1378
895	11765	1365
896	11779	1352
897	11791	1339
898	11804	1326
899	11816	1312
900	11830	1299
901	11843	1286
902	11856	1273
903	11868	1260
904	11882	1247
905	11894	1234
906	11907	1220
907	11919	1207
908	11932	1194
909	11946	1181
910	11959	1168
911	11973	1155
912	11986	1142
913	11999	1129
914	12012	1115
915	12026	1102
916	12039	1089
917	12050	1076
918	12064	1063
919	12076	1050
920	12089	1036
921	12101	1023
922	12114	1010
923	12127	997
924	12140	984
925	12153	971
926	12166	958
927	12179	944
928	12192	931
929	12205	918
930	12217	905
931	12229	892
932	12243	879
933	12256	866
934	12270	853
935	12282	839
936	12294	826
937	12305	813
938	12318	800
939	12332	787
940	12346	774
941	12360	761
942	12374	748
943	12388	734
944	12400	721
945	12413	708
946	12426	695
947	12441	682
948	12455	669
949	12468	656
950	12481	643
951	12494	629
952	12507	616
953	12521	603
954	12533	590
955	12545	577
956	12559	564
957	12572	551
958	12585	538
959	12596	524
960	12609	511
961	12623	498
962	12636	485
963	12648	472
964	12661	459
965	12674	446
966	12686	432
967	12697	419
968	12710	406
969	12724	393
970	12736	380
971	12748	367
972	12761	354
973	12773	340
974	12785	327
975	12799	314
976	12812	301
977	12824	288
978	12837	275
979	12848	262
980	12861	249
981	12873	235
982	12885	222
983	12898	209
984	12909	196
985	12921	183
986	12934	170
987	12948	157
988	12962	144
989	12973	131
990	12987	117
991	13000	104
992	13011	91
993	13024	78
994	13036	65
995	13049	52
996	13061	39
997	13073	26
998	13086	13
999	13099	0
